Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of deaths involving COVID-19, registered and occurring and those reported on GOV.UK up to 10 April 2020, England and Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Daily death counts released on GOV.UK (E&W only),ONS deaths by date of registration – registered by 10th April,ONS deaths by actual date of death – registered by 10th April,ONS deaths by actual date of death – registered by 18th April,ONS deaths by date of registration – (England only) registered by 10th April,ONS deaths by date of registration – (Wales only) registered by 10th April,ONS deaths by actual date of death – (England only) registered by 18th April,ONS deaths by actual date of death – (Wales only) registered by 18th April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/20, 	1 , 	-   , 	2 , 	2 , 	-   , 	-   , 	2 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/20, 	2 , 	-   , 	2 , 	2 , 	-   , 	-   , 	2 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/20, 	2 , 	-   , 	2 , 	2 , 	-   , 	-   , 	2 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/20, 	3 , 	-   , 	4 , 	4 , 	-   , 	-   , 	4 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/20, 	6 , 	1 , 	8 , 	8 , 	1 , 	-   , 	8 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/20, 	6 , 	2 , 	9 , 	9 , 	2 , 	-   , 	9 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/20, 	8 , 	3 , 	15 , 	15 , 	3 , 	-   , 	15 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/20, 	10 , 	3 , 	25 , 	25 , 	3 , 	-   , 	25 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/20, 	20 , 	5 , 	39 , 	40 , 	5 , 	-   , 	40 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/20, 	34 , 	5 , 	56 , 	57 , 	5 , 	-   , 	57 , 	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20, 	54 , 	5 , 	86 , 	87 , 	5 , 	-   , 	85 , 	1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/20, 	69 , 	16 , 	131 , 	132 , 	16 , 	-   , 	127 , 	3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/20, 	100 , 	30 , 	182 , 	185 , 	29 , 	-   , 	179 , 	4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20, 	137 , 	50 , 	247 , 	250 , 	49 , 	-   , 	242 , 	6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/20, 	170 , 	77 , 	315 , 	319 , 	75 , 	1 , 	307 , 	10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/20, 	225 , 	111 , 	420 , 	424 , 	108 , 	2 , 	408 , 	14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/20, 	269 , 	111 , 	542 , 	547 , 	108 , 	2 , 	521 , 	23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/20, 	319 , 	111 , 	707 , 	712 , 	108 , 	2 , 	682 , 	27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/20, 	402 , 	168 , 	887 , 	894 , 	162 , 	4 , 	857 , 	32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/20, 	434 , 	237 ," 	1,116 "," 	1,127 ", 	229 , 	6 ," 	1,079 ", 	43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/20, 	543 , 	362 ," 	1,408 "," 	1,421 ", 	348 , 	12 ," 	1,361 ", 	55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/20, 	713 , 	469 ," 	1,773 "," 	1,791 ", 	453 , 	14 ," 	1,717 ", 	66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/20, 	964 , 	660 ," 	2,179 "," 	2,198 ", 	633 , 	23 ," 	2,106 ", 	84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/20," 	1,173 ", 	680 ," 	2,616 "," 	2,638 ", 	653 , 	23 ," 	2,528 ", 	102 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/20," 	1,346 ", 	685 ," 	3,129 "," 	3,159 ", 	658 , 	23 ," 	3,025 ", 	125 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/20," 	1,720 "," 	1,147 "," 	3,715 "," 	3,755 "," 	1,096 ", 	45 ," 	3,599 ", 	146 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/20," 	2,264 "," 	1,724 "," 	4,420 "," 	4,475 "," 	1,644 ", 	71 ," 	4,297 ", 	164 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/20," 	2,815 "," 	2,426 "," 	5,169 "," 	5,253 "," 	2,322 ", 	94 ," 	5,051 ", 	187 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/20," 	3,443 "," 	3,242 "," 	5,967 "," 	6,107 "," 	3,106 ", 	123 ," 	5,866 ", 	225 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/20," 	4,093 "," 	4,137 "," 	6,740 "," 	6,975 "," 	3,964 ", 	157 ," 	6,689 ", 	265 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/20," 	4,660 "," 	4,243 "," 	7,562 "," 	7,918 "," 	4,067 ", 	160 ," 	7,583 ", 	313 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/20," 	5,090 "," 	4,265 "," 	8,386 "," 	8,884 "," 	4,089 ", 	160 ," 	8,501 ", 	360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/20," 	5,867 "," 	5,395 "," 	9,111 "," 	9,790 "," 	5,170 ", 	207 ," 	9,363 ", 	403 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/20," 	6,728 "," 	6,769 "," 	9,803 "," 	10,771 "," 	6,464 ", 	285 ," 	10,299 ", 	447 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/20," 	7,534 "," 	8,223 "," 	10,239 "," 	11,792 "," 	7,846 ", 	354 ," 	11,253 ", 	511 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/20," 	8,429 "," 	9,740 "," 	10,346 "," 	12,528 "," 	9,277 ", 	439 ," 	11,945 ", 	552 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/20," 	9,288 "," 	10,350 "," 	10,353 "," 	13,121 "," 	9,863 ", 	461 ," 	12,516 ", 	574 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
