Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of deaths involving COVID-19, registered and occurring and those reported on GOV.UK, and by NHS England up to 10 April 2020, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Daily death counts released on GOV.UK ,NHS England by date of death - As published on 19th April,ONS deaths by date of registration – registered by 10th April,ONS deaths by actual date of death – registered by 10th April,ONS deaths by actual date of death – registered by 18th April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/20, 	1 , 	12 , 	-   , 	2 , 	2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/20, 	2 , 	15 , 	-   , 	2 , 	2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/20, 	2 , 	16 , 	-   , 	2 , 	2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/20, 	3 , 	21 , 	-   , 	4 , 	4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/20, 	6 , 	24 , 	1 , 	8 , 	8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/20, 	6 , 	25 , 	2 , 	9 , 	9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/20, 	8 , 	32 , 	3 , 	15 , 	15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/20, 	10 , 	41 , 	3 , 	25 , 	25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/20, 	20 , 	56 , 	5 , 	39 , 	40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/20, 	34 , 	79 , 	5 , 	56 , 	57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20, 	53 , 	107 , 	5 , 	84 , 	85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/20, 	67 , 	153 , 	16 , 	126 , 	127 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/20, 	98 , 	192 , 	29 , 	176 , 	179 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20, 	135 , 	251 , 	49 , 	239 , 	242 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/20, 	167 , 	308 , 	75 , 	303 , 	307 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/20, 	222 , 	404 , 	108 , 	404 , 	408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/20, 	257 , 	497 , 	108 , 	516 , 	521 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/20, 	303 , 	632 , 	108 , 	677 , 	682 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/20, 	385 , 	761 , 	162 , 	850 , 	857 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/20, 	412 , 	924 , 	229 ," 	1,068 "," 	1,079 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/20, 	515 ," 	1,146 ", 	348 ," 	1,348 "," 	1,361 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/20, 	679 ," 	1,443 ", 	453 ," 	1,699 "," 	1,717 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/20, 	926 ," 	1,778 ", 	633 ," 	2,087 "," 	2,106 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/20," 	1,125 "," 	2,117 ", 	653 ," 	2,506 "," 	2,528 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/20," 	1,284 "," 	2,695 ", 	658 ," 	2,996 "," 	3,025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/20," 	1,651 "," 	3,264 "," 	1,096 "," 	3,561 "," 	3,599 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/20," 	2,166 "," 	3,583 "," 	1,644 "," 	4,244 "," 	4,297 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/20," 	2,698 "," 	4,145 "," 	2,322 "," 	4,969 "," 	5,051 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/20," 	3,302 "," 	4,713 "," 	3,106 "," 	5,730 "," 	5,866 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/20," 	3,939 "," 	5,323 "," 	3,964 "," 	6,461 "," 	6,689 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/20," 	4,494 "," 	6,033 "," 	4,067 "," 	7,235 "," 	7,583 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/20," 	4,897 "," 	6,708 "," 	4,089 "," 	8,012 "," 	8,501 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/20," 	5,655 "," 	7,363 "," 	5,170 "," 	8,703 "," 	9,363 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/20," 	6,483 "," 	8,093 "," 	6,464 "," 	9,354 "," 	10,299 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/20," 	7,248 "," 	8,894 "," 	7,846 "," 	9,761 "," 	11,253 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/20," 	8,114 "," 	9,600 "," 	9,277 "," 	9,859 "," 	11,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/20," 	8,937 "," 	10,260 "," 	9,863 "," 	9,866 "," 	12,516 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
