Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weekly provisional figures on deaths registered5 where coronavirus (COVID-19)3 was mentioned on the death certificate, by place of occurrence, in England and Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,11,,,,,,12,,,,,,13,,,,,,14,,,,,,15,,,,,
Week ended,13-Mar-20,,,,,,20-Mar-20,,,,,,27-Mar-20,,,,,,3-Apr-20,,,,,,10-Apr-20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,England and Wales,,England   ,,Wales,,England and Wales,,England   ,,Wales,,England and Wales,,England   ,,Wales,,England and Wales,,England   ,,Wales,,England and Wales,,England   ,,Wales,
,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths,Total deaths,COVID-19 deaths
Home," 	2,725 ", 	-   ," 	2,562 ", 	-   , 	163 , 	-   ," 	2,709 ", 	1 ," 	2,502 ", 	1 , 	207 , 	-   ," 	2,786 ", 	15 ," 	2,579 ", 	14 , 	207 , 	1 ," 	3,865 ", 	120 ," 	3,604 ", 	111 ,261, 	9 ," 	4,117 ", 	330 ," 	3,878 ", 	309 ,238, 	21 
"Hospital (acute or community, not psychiatric)"," 	4,975 ", 	5 ," 	4,582 ", 	5 , 	379 , 	-   ," 	4,770 ", 	100 ," 	4,390 ", 	97 , 	366 , 	2 ," 	5,105 ", 	501 ," 	4,750 ", 	480 , 	347 , 	19 ," 	7,884 "," 	3,110 "," 	7,425 "," 	2,985 ",443, 	115 ," 	8,578 "," 	4,957 "," 	8,124 "," 	4,727 ",439, 	222 
Hospice, 	553 , 	-   , 	539 , 	-   , 	14 , 	-   , 	551 , 	-   , 	531 , 	-   , 	19 , 	-   , 	504 , 	2 , 	492 , 	2 , 	12 , 	-   , 	544 , 	31 , 	525 , 	29 ,19, 	2 , 	510 , 	54 , 	498 , 	51 ,12, 	3 
Care Home," 	2,471 ", 	-   ," 	2,373 ", 	-   , 	98 , 	-   ," 	2,335 ", 	2 ," 	2,237 ", 	2 , 	95 , 	-   ," 	2,489 ", 	20 ," 	2,352 ", 	18 , 	135 , 	1 ," 	3,769 ", 	195 ," 	3,593 ", 	187 ,174, 	8 ," 	4,927 ", 	826 ," 	4,704 ", 	768 ,219, 	56 
Other communal establishment, 	44 , 	-   , 	44 , 	-   , 	-   , 	-   , 	43 , 	-   , 	38 , 	-   , 	5 , 	-   , 	33 , 	-   , 	33 , 	-   , 	-   , 	-   , 	53 , 	3 , 	52 , 	3 ,1, 	-   , 	83 , 	18 , 	76 , 	17 ,6, 	1 
Elsewhere, 	249 , 	-   , 	222 , 	-   , 	21 , 	-   , 	238 , 	-   , 	207 , 	-   , 	27 , 	-   , 	225 , 	1 , 	207 , 	1 , 	18 , 	-   , 	272 , 	16 , 	244 , 	15 ,22, 	-   , 	301 , 	28 , 	283 , 	27 ,14, 	1 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths registered from 28 December 2019 to the 10 April 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
