Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on death occurrence7 where coronavirus (COVID-19)3 was mentioned on the death certificate in England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Week ended,,3-Jan-20,10-Jan-20,17-Jan-20,24-Jan-20,31-Jan-20,7-Feb-20,14-Feb-20,21-Feb-20,28-Feb-20,6-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,3-Apr-20,10-Apr-20,17-Apr-20,24-Apr-20,1-May-20,8-May-20,15-May-20,22-May-20,29-May-20,5-Jun-20,12-Jun-20,19-Jun-20,26-Jun-20,3-Jul-20,10-Jul-20,17-Jul-20,24-Jul-20,31-Jul-20,7-Aug-20,14-Aug-20,21-Aug-20,28-Aug-20,4-Sep-20,11-Sep-20,18-Sep-20,25-Sep-20,2-Oct-20,9-Oct-20,16-Oct-20,23-Oct-20,30-Oct-20,6-Nov-20,13-Nov-20,20-Nov-20,27-Nov-20,4-Dec-20,11-Dec-20,18-Dec-20,25-Dec-20,1-Jan-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deaths involving COVID-19, all ages1",,0,0,0,0,0,0,0,0,0,2,38,384,"1,774","4,777","6,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,0,0,0,0,0,0,0,0,0,0,0,0,8,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,0,0,0,0,0,0,0,0,0,0,1,2,8,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,0,0,0,0,0,0,0,0,0,0,0,6,24,66,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,0,0,0,0,0,0,0,0,0,0,0,15,36,85,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,0,0,0,0,0,0,0,0,0,0,1,13,69,179,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,0,0,0,0,0,0,0,0,0,0,3,19,86,253,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,0,0,0,0,0,0,0,0,0,0,4,27,123,334,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,0,0,0,0,0,0,0,0,0,0,6,34,209,548,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,0,0,0,0,0,0,0,0,0,1,2,45,282,751,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,0,0,0,0,0,0,0,0,0,1,6,71,335,954,"1,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
