Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on deaths registered in the UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Week ended,,3-Jan-20,10-Jan-20,17-Jan-20,24-Jan-20,31-Jan-20,7-Feb-20,14-Feb-20,21-Feb-20,28-Feb-20,6-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,3-Apr-20,10-Apr-20,17-Apr-20,24-Apr-20,1-May-20,8-May-20,15-May-20,22-May-20,29-May-20,5-Jun-20,12-Jun-20,19-Jun-20,26-Jun-20,3-Jul-20,10-Jul-20,17-Jul-20,24-Jul-20,31-Jul-20,7-Aug-20,14-Aug-20,21-Aug-20,28-Aug-20,4-Sep-20,11-Sep-20,18-Sep-20,25-Sep-20,2-Oct-20,9-Oct-20,16-Oct-20,23-Oct-20,30-Oct-20,6-Nov-20,13-Nov-20,20-Nov-20,27-Nov-20,4-Dec-20,11-Dec-20,18-Dec-20,25-Dec-20,1-Jan-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK deaths involving COVID-19, all ages",,0,0,0,0,0,0,0,0,0,0,5,113,607,"3,801","6,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,England,0,0,0,0,0,0,0,0,0,0,5,100,515,"3,330","5,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wales,0,0,0,0,0,0,0,0,0,0,0,2,21,134,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotland,0,0,0,0,0,0,0,0,0,0,0,10,62,282,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,1,9,55,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths involving COVID-19 by age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons - UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-44,0,0,0,0,0,0,0,0,0,0,0,1,7,49,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-64,0,0,0,0,0,0,0,0,0,0,1,7,75,446,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-74,0,0,0,0,0,0,0,0,0,0,1,23,113,701,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-84,0,0,0,0,0,0,0,0,0,0,3,35,207,"1,351",2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85+,0,0,0,0,0,0,0,0,0,0,0,47,205,"1,254",2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Males - GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-44,0,0,0,0,0,0,0,0,0,0,0,1,2,25,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-64,0,0,0,0,0,0,0,0,0,0,1,3,32,284,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-74,0,0,0,0,0,0,0,0,0,0,0,8,39,466,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
