Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on deaths registered7 in England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Week ended,,3-Jan-20,10-Jan-20,17-Jan-20,24-Jan-20,31-Jan-20,7-Feb-20,14-Feb-20,21-Feb-20,28-Feb-20,6-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,3-Apr-20,10-Apr-20,17-Apr-20,24-Apr-20,1-May-20,8-May-20,15-May-20,22-May-20,29-May-20,5-Jun-20,12-Jun-20,19-Jun-20,26-Jun-20,3-Jul-20,10-Jul-20,17-Jul-20,24-Jul-20,31-Jul-20,7-Aug-20,14-Aug-20,21-Aug-20,28-Aug-20,4-Sep-20,11-Sep-20,18-Sep-20,25-Sep-20,2-Oct-20,9-Oct-20,16-Oct-20,23-Oct-20,30-Oct-20,6-Nov-20,13-Nov-20,20-Nov-20,27-Nov-20,4-Dec-20,11-Dec-20,18-Dec-20,25-Dec-20,1-Jan-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total deaths, all ages",,"12,254","14,058","12,990","11,856","11,612","10,986","10,944","10,841","10,816","10,895","11,019","10,645","11,141","16,387","18,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths: average of corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week over the previous 5 years 1 (England and Wales),,"12,175","13,822","13,216","12,760","12,206","11,925","11,627","11,548","11,183","11,498","11,205","10,573","10,130","10,305","10,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths: average of corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week over the previous 5 years 1 (England),," 	11,393 "," 	12,934 "," 	12,378 "," 	11,942 "," 	11,424 "," 	11,175 "," 	10,882 "," 	10,801 "," 	10,462 "," 	10,761 "," 	10,454 "," 	9,868 "," 	9,444 "," 	9,617 "," 	9,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths: average of corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week over the previous 5 years 1 (Wales),, 	758 , 	856 , 	812 , 	802 , 	761 , 	729 , 	723 , 	725 , 	700 , 	720 , 	728 , 	680 , 	666 , 	668 , 	672 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Deaths could possibly be counted in both causes presented. If a death had an underlying respiratory cause and a mention of COVID-19 then it would appear in both counts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Deaths by cause 2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths where the underlying cause was respiratory disease (ICD-10 J00-J99),"2,141","2,477","2,188","1,893","1,746","1,572","1,602","1,619","1,546","1,584","1,502","1,510","1,516","1,965","1,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths where COVID-19 was mentioned on the death certificate (ICD-10 U07.1 and U07.2),0,0,0,0,0,0,0,0,0,0,5,103,539,"3,475","6,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,48,50,69,53,50,30,43,51,49,56,53,44,49,51,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,8,9,7,9,6,8,6,5,7,11,13,2,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,4,8,5,4,5,4,2,6,6,2,3,6,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
